,Date,Time,TxnCode,OfficeID,Country,Origin,Destination,RoundTrip,NbSegments,Seg1Departure,Seg1Arrival,Seg1Date,Seg1Carrier,Seg1BookingCode,Seg2Departure,Seg2Arrival,Seg2Date,Seg2Carrier,Seg2BookingCode,Seg3Departure,Seg3Arrival,Seg3Date,Seg3Carrier,Seg3BookingCode,Seg4Departure,Seg4Arrival,Seg4Date,Seg4Carrier,Seg4BookingCode,Seg5Departure,Seg5Arrival,Seg5Date,Seg5Carrier,Seg5BookingCode,Seg6Departure,Seg6Arrival,Seg6Date,Seg6Carrier,Seg6BookingCode,From,IsPublishedForNeg,IsFromInternet,IsFromVista,TerminalID,InternetOffice,booked
159393,2013-06-09,17:08:01,FCP,3565e31495ecfd46fa018339d20382b1,SA,DMM,JED,0.0,1.0,DMM,JED,2013-06-10,KK,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
159415,2013-06-09,20:33:12,MPT,c8daef4f8bf73a61aa2c928705f7b82d,ES,AMS,MAD,1.0,2.0,AMS,MAD,2013-09-09,,,MAD,AMS,2013-09-16,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MAD,1.0
159519,2013-06-09,22:22:44,CCP,3565e31495ecfd46fa018339d20382b1,SA,DMM,JED,0.0,1.0,DMM,JED,2013-06-13,KK,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
159557,2013-06-09,09:12:50,FCP,3565e31495ecfd46fa018339d20382b1,SA,RUH,JED,0.0,1.0,RUH,JED,2013-06-12,KK,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
159630,2013-06-09,23:46:07,MPT,b82cb8b2c2649bede222021197e815cc,CA,YYZ,LGW,1.0,2.0,YYZ,LGW,2013-06-14,,,LGW,YYZ,2013-06-17,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,YTO,1.0
159671,2013-06-09,22:54:41,CCP,1722290df1e162d326280c5d4a82657b,CO,BOG,SMR,0.0,1.0,BOG,SMR,2013-06-18,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BOG,1.0
159718,2013-06-09,21:43:41,FXX,39964172ed1a0ec40ac97a44a68b8951,FR,MRS,ORY,1.0,2.0,MRS,ORY,2013-08-05,KP,J,ORY,MRS,2013-08-15,KP,J,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,b619238e7648a3d71fa4c772bd4ae960,PAR,1.0
159759,2013-06-09,23:55:34,MPT,1467cdcc7203734268d0c038e3b23604,AE,DXB,GOI,1.0,2.0,DXB,GOI,2013-06-12,,,GOI,DXB,2013-07-12,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,DXB,1.0
159769,2013-06-09,07:13:23,SPR,b109e020fba8e884408a24ba6b87c756,FR,CDG,SYD,1.0,3.0,CDG,SYD,2013-07-08,,,SYD,SIN,2013-07-14,,,SIN,CDG,2013-07-17,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,PAR,1.0
159772,2013-06-09,14:03:50,FXP,41377bdff95978365928d71b14b8b41a,EG,CAI,JED,1.0,2.0,CAI,JED,2013-06-12,DG,J,JED,CAI,2013-07-03,DG,J,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,aafd7fe485dc63eb460ae12ab691a55d,CAI,1.0
159825,2013-06-09,12:27:57,MPT,78595cf8e8b724fcfc09fb2eeebd7b01,US,KWI,MAA,1.0,2.0,KWI,MAA,2014-01-10,,,MAA,KWI,2014-03-08,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,NYC,1.0
159831,2013-06-09,02:38:45,CCP,3565e31495ecfd46fa018339d20382b1,SA,RUH,JED,0.0,1.0,RUH,JED,2013-06-14,KK,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
159850,2013-06-09,23:44:50,FCP,c0d0512e1f5b39827aeae0a35b9177fd,AU,SYD,JFK,0.0,1.0,SYD,JFK,2013-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SYD,1.0
159853,2013-06-09,16:48:14,CAL,74d4117c29f852be6b92d6ebbf0fcf6b,QA,DOH,CAI,1.0,2.0,DOH,CAI,2013-07-25,JJ,,CAI,DOH,2013-08-31,JJ,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,DOH,1.0
159910,2013-06-09,20:01:47,FXP,4831c67c44306edd3b762b101764babb,RU,DME,MUC,0.0,2.0,DME,MUC,2013-06-14,D2,J,MUC,ZAG,2013-06-14,VR,J,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MOW,1.0
159924,2013-06-09,17:43:21,MPT,b695299cc14ddcd1e31f1c922b3e258c,US,SFO,BOM,1.0,2.0,SFO,BOM,2014-01-17,,,BOM,SFO,2014-01-27,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SJC,1.0
160000,2013-06-10,09:30:53,MTP,236cbf458f79dbb9d5e9c9430438c3db,US,ORD,LHR,1.0,2.0,ORD,LHR,2013-09-26,,,LHR,ORD,2013-09-30,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
160070,2013-06-10,20:32:37,MPT,63d35a15724f95939e6d0dd0ca39be16,DE,FRA,DEL,1.0,2.0,FRA,DEL,2013-10-07,,,DEL,FRA,2013-11-01,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BRE,1.0
160121,2013-06-10,16:27:00,MPT,440642a9bdaeb6287f826cefd73255e8,US,JED,CAI,1.0,2.0,JED,CAI,2013-06-26,HJ,,CAI,JED,2013-06-29,HJ,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
160178,2013-06-10,22:54:12,MPC,2e56b59f0e92016b3896e24942e8f2a3,IN,DXB,MAA,0.0,1.0,DXB,MAA,2013-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,DEL,1.0
160190,2013-06-10,07:07:58,MPT,440642a9bdaeb6287f826cefd73255e8,US,EWR,CAI,1.0,2.0,EWR,CAI,2013-06-28,KK,,CAI,EWR,2013-07-26,KK,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
160204,2013-06-10,09:14:59,MPT,dafa0f79e75d46cb574ee4b4d9138e51,IN,BOM,LHR,1.0,2.0,BOM,LHR,2013-10-01,,,LHR,BOM,2013-10-10,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,DEL,1.0
160206,2013-06-10,07:46:26,MPT,3561a60621de06ab1badc8ca55699ef3,US,LAS,ATL,0.0,1.0,LAS,ATL,2013-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,NYC,1.0
160212,2013-06-10,02:31:57,FXP,cb028e2166a95168fee7d483a463ae54,DE,HAM,FRA,1.0,2.0,HAM,FRA,2013-09-01,VR,S,FRA,HAM,2013-09-08,VR,V,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
160235,2013-06-10,15:40:26,MPT,3561a60621de06ab1badc8ca55699ef3,US,JFK,DAC,1.0,2.0,JFK,DAC,2013-12-22,,,DAC,JFK,2014-01-19,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,NYC,1.0
160259,2013-06-10,19:06:00,MPT,be34e1bcffed441e2a4ca0f251594aa7,CA,BUF,MIA,1.0,2.0,BUF,MIA,2014-03-07,FK,,MIA,BUF,2014-03-15,FK,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,YTO,1.0
160272,2013-06-10,07:21:47,MPT,a346d83fed980ff1361f25f3c6566fce,ES,MAD,SOF,1.0,2.0,MAD,SOF,2013-07-15,,,SOF,MAD,2013-08-04,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MAD,1.0
160274,2013-06-10,14:14:14,MPT,1ca95f6077d443cf06c04854a1c36d48,PL,WAW,AMS,1.0,2.0,WAW,AMS,2013-09-02,,,AMS,WAW,2013-09-06,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,QYO,1.0
160293,2013-06-10,17:37:34,FFP,336eba61d844aa8cefcc48cc1e2ce3e1,GR,ATH,CDG,0.0,1.0,ATH,CDG,2013-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,ATH,1.0
160304,2013-06-10,20:37:09,MPT,8b4fa4e121637f583bfa86ef0fa26c9e,US,LGW,MCO,0.0,1.0,LGW,MCO,2013-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LAS,1.0
160309,2013-06-10,10:46:24,CCP,82943557f28d5c67a74dba06d063c79c,DK,AAL,CPH,0.0,1.0,AAL,CPH,2013-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,CPH,1.0
160322,2013-06-10,13:11:02,MPT,43e7668e3e4f11dfe8a0867d4ad95d46,DE,CDG,MIA,1.0,2.0,CDG,MIA,2013-07-13,,,MIA,CDG,2013-08-03,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FMO,1.0
160343,2013-06-10,23:16:49,FQD,1ee479f5d8e435942d95363363634aee,DE,DEN,EWR,1.0,2.0,DEN,EWR,2013-07-18,,,EWR,DEN,2013-07-18,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,9eece2e4ef7ebff868b4fb8cd23f8aaf,FRA,1.0
160389,2013-06-10,10:47:25,MPT,abad92d5dd1f2cea8748bb2013a92ccb,GB,LHR,KTM,1.0,2.0,LHR,KTM,2013-07-15,MK,,KTM,LHR,2013-08-24,MK,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LON,1.0
160434,2013-06-10,09:57:23,MPT,ec57240828994efe29293537c2e4c9be,FR,CDG,ALG,0.0,1.0,CDG,ALG,2013-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,PAR,1.0
160461,2013-06-10,17:14:13,CCP,64c0d5423798442a29a70a73b2e9b185,GB,ARN,LHR,0.0,1.0,ARN,LHR,2013-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LON,1.0
160469,2013-06-10,10:01:13,FXX,8be5efb062958236aed3502d8040b6db,US,MIA,SAL,1.0,2.0,MIA,SAL,2013-07-19,EK,C,SAL,MIA,2013-07-26,EK,C,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,92fc57e5fa537e858b88d3d5ee2950b3,MIA,1.0
160533,2013-06-10,09:14:59,FQP,f82368376179f065b7cbd2892200d978,DE,MUC,CDG,1.0,2.0,MUC,CDG,2013-06-11,VR,Y,CDG,MUC,2013-06-14,VR,Y,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,6bc2f837ea09bd52c065427c6f7c0025,MUC,1.0
160537,2013-06-10,01:33:00,FFP,1fed43a5fc5b03d488971ea3d832b395,FR,BCN,LYS,0.0,1.0,BCN,LYS,2013-08-29,K0,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,PAR,1.0
160562,2013-06-10,11:16:30,FFP,314d2613218289efc5aec20eef9619f4,GB,LHR,MNL,0.0,1.0,LHR,MNL,2014-05-21,JJ,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LON,1.0
160566,2013-06-10,17:14:29,FXX,03e6c2860e0b22ba58f838f3b3add4d1,KW,KWI,LHR,1.0,4.0,KWI,BAH,2013-08-23,QP,J,BAH,LHR,2013-08-24,QP,J,LHR,BAH,2013-09-03,QP,J,BAH,KWI,2013-09-03,QP,J,,,,,,,,,,,1ASI,0,0,0,299cbac6fb37a010c408c1fa77260228,KWI,1.0
160614,2013-06-10,08:41:05,MPC,7f45b8c2329242b93ccfcc1082036bc3,IT,RUH,CAI,1.0,2.0,RUH,CAI,2013-11-10,KK,,CAI,RUH,2013-11-18,KK,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,ROM,1.0
160652,2013-06-10,13:16:51,FCP,439c0bb10ec8b58c68da567c40399a05,NO,SVG,OSL,0.0,1.0,SVG,OSL,2013-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,OSL,1.0
160658,2013-06-10,20:48:22,MPT,5bf6b3f7f5d4512aebafbc90229ebd0c,GB,LHR,NCE,1.0,2.0,LHR,NCE,2013-07-18,LK,,NCE,LHR,2013-07-28,LK,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LON,1.0
160674,2013-06-10,16:10:33,MPT,30dee8915b8c91a60922ae47d70b31be,DE,DTM,MUC,0.0,1.0,DTM,MUC,2013-07-13,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LEJ,1.0
160701,2013-06-10,14:46:28,FXB,c3f677cd13c84cdb5e13f5b779d3baf2,FR,ORY,RUN,1.0,2.0,ORY,RUN,2013-07-08,DD,J,RUN,ORY,2013-09-05,DD,J,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,8e3d706c82154c891710a2927adc2c71,PAR,1.0
160710,2013-06-10,14:42:18,MPT,b927c9d7f26be67222348993774e029d,DE,LHR,AMS,0.0,1.0,LHR,AMS,2013-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,CGN,1.0
160719,2013-06-10,00:32:39,FXX,0e8ef72f4baa232a53a4f3449e318b9b,SG,SIN,ICN,1.0,2.0,SIN,ICN,2013-12-14,DB,F,ICN,SIN,2013-12-21,DB,F,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,18a7b91ae6955470117a490804c34eaf,SIN,1.0
160785,2013-06-10,06:33:28,CAL,3565e31495ecfd46fa018339d20382b1,SA,JED,CDG,1.0,2.0,JED,CDG,2013-08-09,KK,,CDG,JED,2013-08-31,KK,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
160805,2013-06-10,07:05:44,MPT,2e56b59f0e92016b3896e24942e8f2a3,IN,DEL,ZRH,1.0,2.0,DEL,ZRH,2013-07-05,,,ZRH,DEL,2013-08-11,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,DEL,1.0
160832,2013-06-10,23:01:26,FXR,536054154d1b9b74ca1078ed817c200c,US,FLL,BOG,0.0,2.0,FLL,BOG,2013-06-15,KG,C,BOG,MIA,2013-08-16,KG,C,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,52e48c2022602e4d3efb899752f1e09e,MIA,1.0
160846,2013-06-10,19:56:14,MPT,22cf15984f4b13ed8f513a42324666d1,FR,NTE,NCE,0.0,1.0,NTE,NCE,2013-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,PAR,1.0
160857,2013-06-10,07:33:14,MTP,e08742a93e1d3d9e679723625a3484fc,DE,MUC,DUS,1.0,2.0,MUC,DUS,2013-07-19,,,DUS,MUC,2013-07-21,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
160926,2013-06-10,22:19:44,MPT,3561a60621de06ab1badc8ca55699ef3,US,UIO,CUE,1.0,2.0,UIO,CUE,2013-06-20,,,CUE,UIO,2013-07-28,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,NYC,1.0
160939,2013-06-10,18:04:46,MPT,9af833432382f4171c30c30bfc9fa4f0,NL,AMS,MAD,0.0,1.0,AMS,MAD,2013-08-06,AD,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,AMS,1.0
160982,2013-06-10,19:47:49,FFP,235ff8d824bebd67ef61418a3af9fcde,GB,LHR,BKK,1.0,2.0,LHR,BKK,2014-02-08,,,BKK,LHR,2014-02-23,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LON,1.0
160990,2013-06-10,16:32:21,MPT,a9366b68d5cbaa9526de6308cd398363,CA,YYZ,YHZ,1.0,2.0,YYZ,YHZ,2013-06-14,HD,,YHZ,YYZ,2013-06-18,HD,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,YKX,1.0
161002,2013-06-11,22:59:23,AWT,8723527d3ed6d89a17e3f8dd8dbdd1e8,US,CGH,SDU,0.0,1.0,CGH,SDU,2013-06-21,TT,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MIA,1.0
161079,2013-06-11,02:15:54,MPT,f976842f00052a55080c5ea015cd728c,US,LAX,SYD,0.0,1.0,LAX,SYD,2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SFO,1.0
161088,2013-06-11,09:47:13,FXR,2944ffabfe475bdbe21377e593ed8b33,SA,JED,CGK,1.0,2.0,JED,CGK,2013-09-27,DG,J,CGK,JED,2013-10-12,DG,J,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,c4a8f0fa4846185121287feee897a9f8,DMM,1.0
161121,2013-06-11,04:53:40,MPT,e8741eaf2fa2f71f931475d18fa72096,US,LAX,GUA,1.0,2.0,LAX,GUA,2013-06-25,,,GUA,LAX,2013-07-02,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SEA,1.0
161154,2013-06-11,06:20:39,FXP,aa5560258a8882f264d157e15c9997cc,FR,CDG,BKK,1.0,4.0,CDG,DOH,2013-08-01,BC,H,DOH,BKK,2013-08-02,BC,H,BKK,DOH,2013-08-08,BC,K,DOH,CDG,2013-08-09,BC,K,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,PAR,1.0
161172,2013-06-11,08:43:58,FXP,bebdecb4d343b32194c04a45039b4f1d,IN,BHO,BOM,0.0,1.0,BHO,BOM,2013-06-12,4H,C,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,5431cbb1792ca9a8694377de7a586221,IDR,1.0
161179,2013-06-11,18:20:09,MPT,3561a60621de06ab1badc8ca55699ef3,US,JFK,PUJ,1.0,2.0,JFK,PUJ,2013-08-31,,,PUJ,JFK,2013-09-08,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,NYC,1.0
161233,2013-06-11,13:10:26,FXP,7da60d9e60a322d3fff7e00cb62baa53,BR,CGH,SSA,0.0,1.0,CGH,SSA,2013-07-16,TT,Y,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,995293a24d67fa0e7a134b14f1a963de,SAO,1.0
161276,2013-06-11,16:30:10,MPT,ad5e8547187c6456a514c30f9bfc09ef,US,JFK,DAC,1.0,2.0,JFK,DAC,2013-06-27,WD,,DAC,JFK,2013-08-30,WD,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,DCA,1.0
161289,2013-06-11,00:54:57,MTP,6cd4e5a8b525a8170f222625b1168f46,EG,CAI,SSH,0.0,1.0,CAI,SSH,2013-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,CAI,1.0
161324,2013-06-11,14:51:37,FCP,3565e31495ecfd46fa018339d20382b1,SA,RUH,JED,0.0,1.0,RUH,JED,2013-06-12,KK,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
161376,2013-06-11,10:43:50,FXF,60f20813dd80e1884f075e9a9e9c3b95,ZA,CPT,JNB,1.0,2.0,CPT,JNB,2013-06-19,DK,C,JNB,CPT,2013-06-21,DK,C,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,7c8ca5f38e364a86df4677ec475c3943,CPT,1.0
161446,2013-06-11,06:33:17,FXP,eb7c1f158b7379035c59d20f17e1420b,US,LAX,LHR,1.0,2.0,LAX,LHR,2014-03-05,LK,F,LHR,LAX,2014-03-19,LK,F,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,fe1820ddab01454e38e32b959fa8b98d,MIA,1.0
161451,2013-06-11,23:54:45,FXL,10a1411706b173412f75c67811b19f69,NZ,AKL,LHR,0.0,8.0,AKL,SYD,2013-09-10,BP,J,SYD,LHR,2013-09-10,BP,F,LHR,DUB,2013-09-11,LK,J,DUB,LHR,2013-09-20,LK,J,LHR,PHL,2013-09-25,LK,F,PHL,DFW,2013-10-01,BP,F,1ASI,0,0,0,d96bbe7e4d017939669cf072bf5fe77c,AKL,1.0
161461,2013-06-11,14:25:41,FFP,99a5fa66a00828db9727aea7ebc6ae74,DE,HAM,CGN,0.0,1.0,HAM,CGN,2013-06-17,7V,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BER,1.0
161480,2013-06-11,01:05:00,FFP,c012fb338a5ecfd5c2a55b35d6822937,BR,GRU,EZE,1.0,2.0,GRU,EZE,2013-06-26,JJ,,EZE,GRU,2013-07-01,JJ,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SAO,1.0
161484,2013-06-11,00:57:26,MPT,19d81e19f1342e305d888f236565d20d,ES,MAD,LPA,0.0,1.0,MAD,LPA,2013-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MAD,1.0
161488,2013-06-11,09:36:22,FQD,446e58c587703b3e17a5965632e6e9ec,AE,DXB,CDG,1.0,2.0,DXB,CDG,,,,CDG,DXB,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,fb70b0297f8fdb727050d0173e6cbd23,AUH,1.0
161493,2013-06-11,13:47:26,MPT,8578f0f09067467f9dce416214fd36ec,US,MAD,LPA,1.0,2.0,MAD,LPA,2013-08-16,,,LPA,MAD,2013-08-28,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MAD,1.0
161497,2013-06-11,03:11:24,FXP,d95165245117989338dc5a3fe3f26d41,PH,MNL,SFO,1.0,2.0,MNL,SFO,2013-06-25,AC,J,SFO,MNL,2013-07-15,AC,J,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,7657996c70c33e453df1cb203d0c5412,MNL,1.0
161527,2013-06-11,14:02:49,MPC,440642a9bdaeb6287f826cefd73255e8,US,LAX,SYD,1.0,2.0,LAX,SYD,2014-04-04,WF,,SYD,LAX,2014-04-12,WF,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
161564,2013-06-11,12:54:40,FFP,e971321bc1903d631b77bced7481d9fc,TN,GVA,TUN,1.0,2.0,GVA,TUN,2013-06-12,,,TUN,GVA,2013-06-18,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,TUN,1.0
161623,2013-06-11,09:14:23,FCP,43fa7cd54a3f24663d71f0207da2a330,ES,BIO,MAD,0.0,1.0,BIO,MAD,2013-06-17,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MAD,1.0
161689,2013-06-11,22:03:56,FCP,3565e31495ecfd46fa018339d20382b1,SA,JED,RUH,0.0,1.0,JED,RUH,2013-06-14,KK,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
161706,2013-06-11,05:03:47,FXP,bdcacc1f46b5a304bdd68e5143f37834,KZ,ALA,TSE,0.0,1.0,ALA,TSE,2013-06-11,UM,J,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,7adf1432adead153d6854d223ae4daed,ALA,1.0
161707,2013-06-11,02:04:41,MPT,85adafd9a4ca09c8ccea08c930d81607,US,MNL,HKG,0.0,1.0,MNL,HKG,2013-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LAX,1.0
161708,2013-06-11,12:18:40,FXP,3565e31495ecfd46fa018339d20382b1,SA,RUH,JED,0.0,1.0,RUH,JED,2013-06-13,DG,F,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
161723,2013-06-11,07:35:34,FCP,3565e31495ecfd46fa018339d20382b1,SA,RUH,JED,0.0,1.0,RUH,JED,2013-06-15,KK,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
161725,2013-06-11,23:53:45,MPT,788e52ddaa551032c69ba37cc316233f,FR,ATH,IST,0.0,1.0,ATH,IST,2013-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,PAR,1.0
161728,2013-06-11,01:08:12,FXP,e70a7329a9dcd2402bf3933b597d5056,HK,BKK,PEK,1.0,4.0,BKK,CAN,2013-09-19,MK,V,CAN,PEK,2013-09-19,MK,B,PEK,CAN,2013-09-23,MK,B,CAN,BKK,2013-09-23,MK,V,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HKG,1.0
